epoch,zhumd1_all2_crop_512,yolov4_tiny_all2_crop_512,yolov4_tiny_all2_crop_transfer_512,yolov4_tiny_all2_crop_aug_transfer_512,yolov4_tiny_all2_crop_aug_512,zhumd1_all2_crop_aug_512,yolov4_tiny_batch12345_512,yolov4_tiny_all3_crop_aug_trans_512,yolov4_tiny_all3_crop_aug_512,zhumd1_all3_crop_aug_512,yolov4_tiny_all3_crop_aug_trans_new_anchor_512,yolov4_tiny_all3_crop_aug_new_anchor2_512
1,627.8826945,651.1079447428385,344.37620239257814,182.2605346679688,383.5339925130209,378.6321105957031,269.91705213274275,154.33753882514105,357.2707327383536,324.4190018265336,306.0065465856481,376.06234967267073
2,383.9742452,379.7742533365885,145.13668619791667,69.46782302856445,256.2377217610677,238.6186917622884,114.3648065839495,51.22732332017687,128.40343418827763,149.45005120171442,118.56349719012223,121.73695797390408
3,279.0633102,272.0317860921224,83.47307421366374,29.765508524576823,65.87778460184732,86.72573687235514,60.18791716439383,27.79344367980957,70.98124115555375,76.78272953739872,71.02379120720758,70.887836738869
4,251.9105927,248.759283955892,55.79411532084147,26.728319231669108,53.22646090189616,74.86656977335612,34.86745139530727,23.653914486920392,45.88056147540057,63.762669245402016,63.8835580613878,61.26159159342448
5,252.8744161,249.1108647664388,39.32489782969157,20.813845252990724,51.3792064666748,50.0787602742513,27.748457227434432,20.72990767161052,31.16309392010724,56.21988847520616,53.23857462847674,37.52606780440719
6,229.3993767,249.8576461791992,30.16647040049235,19.747792975107828,30.32063852945964,40.36201178232829,23.08999960763114,18.74470693093759,40.49423655757197,49.64341446205422,51.32580071908456,30.161991295991122
7,139.8598579,85.95297609965006,24.8119992574056,19.232171694437664,22.708036708831788,35.042262903849284,23.52784987858364,20.239165553340204,25.55330255296495,30.36410550717954,47.01280608000579,49.333072379783346
8,71.84525261,65.30082397460937,21.674229939778645,16.077362410227458,20.694111156463624,30.884592692057293,21.28411054611206,19.80050860510932,21.050186263190376,31.275602764553494,44.35059575681333,22.831384023030598
9,58.81722768,46.92988204956055,20.13959150314331,19.55069204966227,27.54863548278809,27.63191089630127,18.852363518306188,15.57146927162453,21.293295153865103,27.215400201302987,46.88739381013093,33.67106508325647
10,58.57263947,31.20669288635254,18.6327774365743,17.425329621632894,25.91271562576294,31.75464773178101,17.312662397112167,15.857024669647217,23.172559208340115,21.53416527642144,43.66428135059498,28.725202631067347
11,46.23640079,29.886025842030843,18.43337605794271,17.125582297643025,17.438512992858886,23.26925589243571,20.991238253457205,17.23926885039718,20.174671950163663,31.428740678010165,46.04534813209816,27.61789109971788
12,50.00415942,29.25488112767537,16.73292770385742,15.977287117640175,22.512427202860515,21.29654010136922,16.33333158493042,15.935215561478229,20.29551488381845,22.011657926771377,42.85310738175004,21.523763939186377
